"project","organism","file_source","project_home","project_type","n_samples"
"ERP020514","mouse","sra","data_sources/sra","data_sources",12
"SRP136814","mouse","sra","data_sources/sra","data_sources",8
"SRP201214","mouse","sra","data_sources/sra","data_sources",8
"SRP144914","mouse","sra","data_sources/sra","data_sources",6
"SRP060414","mouse","sra","data_sources/sra","data_sources",5
"SRP221514","mouse","sra","data_sources/sra","data_sources",54
"SRP075114","mouse","sra","data_sources/sra","data_sources",12
"SRP110814","mouse","sra","data_sources/sra","data_sources",8
"SRP066314","mouse","sra","data_sources/sra","data_sources",166
"SRP227814","mouse","sra","data_sources/sra","data_sources",4
"SRP011014","mouse","sra","data_sources/sra","data_sources",12
"SRP106814","mouse","sra","data_sources/sra","data_sources",8
"SRP155414","mouse","sra","data_sources/sra","data_sources",8
"SRP226214","mouse","sra","data_sources/sra","data_sources",6
"SRP107214","mouse","sra","data_sources/sra","data_sources",8
"SRP193114","mouse","sra","data_sources/sra","data_sources",6
"SRP136714","mouse","sra","data_sources/sra","data_sources",24
"SRP106914","mouse","sra","data_sources/sra","data_sources",22
"SRP043714","mouse","sra","data_sources/sra","data_sources",6
"SRP051514","mouse","sra","data_sources/sra","data_sources",12
"SRP062014","mouse","sra","data_sources/sra","data_sources",9
"ERP111614","mouse","sra","data_sources/sra","data_sources",12
"SRP071214","mouse","sra","data_sources/sra","data_sources",20
"SRP070814","mouse","sra","data_sources/sra","data_sources",29
"SRP117214","mouse","sra","data_sources/sra","data_sources",8
"SRP179614","mouse","sra","data_sources/sra","data_sources",10
"ERP016514","mouse","sra","data_sources/sra","data_sources",68
"SRP113014","mouse","sra","data_sources/sra","data_sources",303
"SRP188514","mouse","sra","data_sources/sra","data_sources",6
"SRP071014","mouse","sra","data_sources/sra","data_sources",12
"SRP163014","mouse","sra","data_sources/sra","data_sources",6
"SRP072114","mouse","sra","data_sources/sra","data_sources",40
"SRP115914","mouse","sra","data_sources/sra","data_sources",2
"SRP041414","mouse","sra","data_sources/sra","data_sources",4
"SRP075814","mouse","sra","data_sources/sra","data_sources",58
"SRP121514","mouse","sra","data_sources/sra","data_sources",8
"SRP099414","mouse","sra","data_sources/sra","data_sources",12
"SRP186214","mouse","sra","data_sources/sra","data_sources",16
"SRP081314","mouse","sra","data_sources/sra","data_sources",4
"SRP095814","mouse","sra","data_sources/sra","data_sources",2
"SRP029314","mouse","sra","data_sources/sra","data_sources",4
"SRP155714","mouse","sra","data_sources/sra","data_sources",26
"SRP056414","mouse","sra","data_sources/sra","data_sources",4
"SRP119514","mouse","sra","data_sources/sra","data_sources",19
"SRP164314","mouse","sra","data_sources/sra","data_sources",12
"SRP092014","mouse","sra","data_sources/sra","data_sources",5
"SRP095914","mouse","sra","data_sources/sra","data_sources",6
"SRP103214","mouse","sra","data_sources/sra","data_sources",108
"SRP151414","mouse","sra","data_sources/sra","data_sources",12
"SRP150414","mouse","sra","data_sources/sra","data_sources",4
"SRP102214","mouse","sra","data_sources/sra","data_sources",23
"SRP083914","mouse","sra","data_sources/sra","data_sources",56
"SRP077214","mouse","sra","data_sources/sra","data_sources",34
"SRP106014","mouse","sra","data_sources/sra","data_sources",2
"SRP009469","mouse","sra","data_sources/sra","data_sources",3
"ERP006669","mouse","sra","data_sources/sra","data_sources",2
"SRP215469","mouse","sra","data_sources/sra","data_sources",16
"DRP003669","mouse","sra","data_sources/sra","data_sources",2
"SRP063269","mouse","sra","data_sources/sra","data_sources",78
"SRP200569","mouse","sra","data_sources/sra","data_sources",16
"DRP002669","mouse","sra","data_sources/sra","data_sources",8
"SRP102369","mouse","sra","data_sources/sra","data_sources",8
"ERP016569","mouse","sra","data_sources/sra","data_sources",14
"SRP036769","mouse","sra","data_sources/sra","data_sources",8
"SRP118469","mouse","sra","data_sources/sra","data_sources",18
"SRP156769","mouse","sra","data_sources/sra","data_sources",135
"SRP082369","mouse","sra","data_sources/sra","data_sources",6
"SRP106069","mouse","sra","data_sources/sra","data_sources",6
"SRP061869","mouse","sra","data_sources/sra","data_sources",12
"SRP126769","mouse","sra","data_sources/sra","data_sources",72
"SRP115269","mouse","sra","data_sources/sra","data_sources",18
"DRP004469","mouse","sra","data_sources/sra","data_sources",2
"SRP116969","mouse","sra","data_sources/sra","data_sources",96
"SRP114869","mouse","sra","data_sources/sra","data_sources",40
"DRP000669","mouse","sra","data_sources/sra","data_sources",1
"SRP165869","mouse","sra","data_sources/sra","data_sources",4
"SRP043469","mouse","sra","data_sources/sra","data_sources",6
"SRP067169","mouse","sra","data_sources/sra","data_sources",6
"SRP090169","mouse","sra","data_sources/sra","data_sources",18
"SRP170969","mouse","sra","data_sources/sra","data_sources",1922
"SRP108769","mouse","sra","data_sources/sra","data_sources",8
"SRP092069","mouse","sra","data_sources/sra","data_sources",41
"SRP097869","mouse","sra","data_sources/sra","data_sources",12
